"especie_ave","zona_ecologica","tamano_promedio_cm","color_dominante","actividad_predominante","numero_vocalizaciones","franja_horaria_activa","tipo_alimentacion","duracion_canto_seg","numero_avistamientos" 
"pinzón costero","manglar",10.6,"amarillo","reposo",2,"tarde","insectos",3.8,8
"pinzón costero","bosque seco",9,"negro","alimentación",3,"mediodía","frutas",4.3,4
"colibrí esmeralda","manglar",9,"verde","reposo",6,"mañana","insectos",3.5,3
"colibrí esmeralda","manglar",13.5,"marrón","vuelo",2,"mañana","insectos",9.5,5
"pinzón costero","manglar",9.1,"amarillo","reposo",8,"mañana","néctar",2,6
"mosquero tropical","agrícola",9.7,"amarillo","alimentación",8,"tarde","insectos",8.5,5
"mosquero tropical","urbana",12.3,"blanco","canto",11,"tarde","frutas",10,9
"mosquero tropical","agrícola",12.7,"verde","alimentación",2,"mañana","néctar",9.5,4
"pinzón costero","manglar",15.3,"verde","reposo",7,"mañana","frutas",1,6
"tordo renegrido","agrícola",12.1,"marrón","canto",11,"mediodía","frutas",14.1,3
"mosquero tropical","manglar",9.9,"gris","reposo",6,"mañana","semillas",1,7
"tordo renegrido","bosque seco",9.2,"marrón","canto",12,"mediodía","frutas",16.3,6
"mosquero tropical","agrícola",14.9,"verde","canto",9,"tarde","néctar",18.6,4
"mosquero tropical","agrícola",10.8,"marrón","alimentación",5,"mediodía","insectos",2.7,6
"reinita amarilla","manglar",11.7,"verde","reposo",7,"mañana","insectos",3.5,9
"reinita amarilla","manglar",14.7,"marrón","reposo",5,"tarde","semillas",5.2,7
"reinita amarilla","agrícola",12.5,"negro","alimentación",5,"mañana","semillas",1,6
"colibrí esmeralda","agrícola",8.3,"blanco","alimentación",5,"mediodía","néctar",1.3,5
"tordo renegrido","manglar",9.9,"negro","vuelo",3,"mañana","frutas",5.4,12
"mosquero tropical","agrícola",6.1,"amarillo","alimentación",4,"mañana","insectos",5.2,5
"colibrí esmeralda","agrícola",13.1,"gris","reposo",6,"tarde","frutas",4.8,9
"tordo renegrido","manglar",14,"blanco","alimentación",2,"tarde","semillas",1.4,9
"mosquero tropical","urbana",12.9,"verde","canto",16,"tarde","frutas",10.6,12
"mosquero tropical","agrícola",11.8,"negro","canto",15,"mañana","semillas",9.3,3
"tordo renegrido","urbana",15.1,"amarillo","reposo",5,"mañana","semillas",2,3
"pinzón costero","urbana",13.6,"verde","alimentación",5,"mañana","semillas",5.2,8
"mosquero tropical","bosque seco",8.8,"gris","alimentación",8,"mediodía","néctar",4.2,10
"mosquero tropical","urbana",12.1,"amarillo","alimentación",6,"mañana","insectos",2.4,10
"colibrí esmeralda","urbana",13.8,"blanco","alimentación",8,"mediodía","semillas",3.1,8
"reinita amarilla","bosque seco",11.9,"blanco","vuelo",5,"mañana","insectos",8.8,6
"tordo renegrido","bosque seco",12.3,"marrón","canto",11,"tarde","néctar",12.3,6
"tordo renegrido","agrícola",11.5,"verde","reposo",1,"tarde","frutas",1.2,9
"tordo renegrido","urbana",12.9,"blanco","vuelo",3,"mañana","insectos",4.3,12
"colibrí esmeralda","agrícola",11.2,"amarillo","reposo",7,"tarde","insectos",5.3,2
"mosquero tropical","manglar",10.7,"verde","alimentación",6,"mañana","néctar",1,7
"tordo renegrido","manglar",12.9,"verde","alimentación",5,"mañana","semillas",3.9,6
"mosquero tropical","manglar",12.6,"marrón","vuelo",8,"mañana","frutas",4.3,6
"colibrí esmeralda","manglar",13,"blanco","alimentación",8,"tarde","insectos",5.3,6
"tordo renegrido","bosque seco",13,"negro","alimentación",4,"tarde","semillas",1.5,6
"tordo renegrido","agrícola",10.8,"marrón","canto",15,"mañana","frutas",16.4,11
"colibrí esmeralda","manglar",12,"negro","canto",12,"tarde","insectos",9.8,2
"reinita amarilla","bosque seco",11.3,"marrón","reposo",6,"tarde","semillas",2.2,5
"colibrí esmeralda","urbana",10.5,"verde","vuelo",6,"tarde","néctar",4.8,5
"pinzón costero","agrícola",13.4,"verde","canto",16,"mediodía","néctar",3.7,5
"mosquero tropical","bosque seco",12.8,"marrón","reposo",9,"tarde","insectos",2.5,6
"colibrí esmeralda","agrícola",12.2,"gris","canto",19,"mañana","néctar",12.1,1
"pinzón costero","agrícola",12.5,"blanco","vuelo",6,"mañana","semillas",2.8,5
"colibrí esmeralda","urbana",12,"marrón","reposo",10,"mediodía","semillas",1,9
"reinita amarilla","manglar",14.7,"verde","vuelo",6,"mañana","semillas",5.2,1
"mosquero tropical","manglar",6.4,"blanco","alimentación",3,"tarde","frutas",4.4,6
"pinzón costero","manglar",13.7,"verde","vuelo",6,"tarde","frutas",1,4
"mosquero tropical","bosque seco",15.5,"negro","canto",20,"mañana","insectos",10.6,6
"reinita amarilla","manglar",15.4,"verde","alimentación",3,"mañana","frutas",3.8,3
"reinita amarilla","manglar",12.1,"verde","canto",10,"mediodía","insectos",12.8,3
"pinzón costero","urbana",13.6,"verde","canto",18,"tarde","insectos",11.6,8
"colibrí esmeralda","agrícola",12.3,"marrón","vuelo",6,"mañana","semillas",5,10
"colibrí esmeralda","bosque seco",9.5,"verde","alimentación",2,"mañana","néctar",4.9,6
"pinzón costero","agrícola",12.1,"negro","reposo",5,"mañana","néctar",4,10
"mosquero tropical","urbana",10.5,"gris","alimentación",5,"mañana","frutas",5.8,11
"mosquero tropical","urbana",11.2,"blanco","vuelo",5,"mañana","semillas",1,6
"pinzón costero","agrícola",14.6,"amarillo","canto",17,"mañana","néctar",10.7,1
"reinita amarilla","agrícola",13.4,"blanco","canto",15,"tarde","néctar",15.9,5
"tordo renegrido","manglar",9.2,"blanco","alimentación",2,"mañana","semillas",9.9,7
"reinita amarilla","bosque seco",13,"negro","alimentación",5,"mediodía","semillas",3.4,5
"colibrí esmeralda","urbana",11,"gris","canto",18,"tarde","semillas",14.5,8
"reinita amarilla","manglar",12.7,"negro","alimentación",11,"mediodía","frutas",10.3,8
"colibrí esmeralda","urbana",13.7,"marrón","canto",21,"mañana","frutas",16.9,5
"reinita amarilla","urbana",11,"amarillo","alimentación",7,"mediodía","frutas",4.8,6
"mosquero tropical","bosque seco",14.2,"negro","canto",19,"mediodía","semillas",10.5,6
"tordo renegrido","bosque seco",11.4,"gris","vuelo",6,"mediodía","insectos",3.8,4
"mosquero tropical","agrícola",10.7,"amarillo","canto",14,"mediodía","néctar",12.6,10
"reinita amarilla","manglar",12.6,"gris","canto",10,"mediodía","insectos",12.4,3
"tordo renegrido","urbana",11.4,"gris","canto",17,"tarde","semillas",17.7,15
"tordo renegrido","bosque seco",8.8,"gris","alimentación",5,"tarde","frutas",6.7,7
"mosquero tropical","urbana",13.7,"blanco","vuelo",1,"tarde","insectos",1.6,8
"mosquero tropical","agrícola",12.9,"gris","canto",15,"tarde","insectos",12.6,3
"reinita amarilla","urbana",6.6,"marrón","alimentación",4,"mediodía","semillas",8.9,13
"mosquero tropical","manglar",14.3,"negro","canto",13,"mediodía","néctar",8.5,7
"reinita amarilla","bosque seco",11.2,"amarillo","reposo",6,"tarde","frutas",3.9,10
"mosquero tropical","agrícola",12.5,"verde","alimentación",6,"tarde","néctar",5.4,7
"pinzón costero","bosque seco",13,"gris","canto",12,"tarde","néctar",15.1,9
"reinita amarilla","manglar",9.8,"gris","alimentación",10,"mediodía","néctar",10.1,6
"tordo renegrido","agrícola",12.4,"negro","reposo",5,"mañana","néctar",5.5,6
"tordo renegrido","manglar",15.3,"blanco","vuelo",5,"mediodía","frutas",3,1
"mosquero tropical","agrícola",9.4,"blanco","vuelo",1,"mañana","semillas",5.9,1
"tordo renegrido","manglar",12.3,"marrón","alimentación",6,"mañana","semillas",2.5,6
"colibrí esmeralda","agrícola",9.6,"verde","alimentación",1,"mañana","néctar",9.9,7
"reinita amarilla","agrícola",7.4,"marrón","vuelo",2,"mañana","néctar",4.6,4
"tordo renegrido","bosque seco",10.5,"gris","alimentación",3,"tarde","néctar",1.6,5
"reinita amarilla","agrícola",9.4,"blanco","reposo",5,"tarde","néctar",8.2,3
"mosquero tropical","urbana",10.8,"gris","reposo",5,"mañana","frutas",5.6,8
"mosquero tropical","agrícola",13.5,"blanco","canto",12,"mediodía","frutas",5.4,5
"tordo renegrido","manglar",12.4,"blanco","alimentación",6,"mediodía","néctar",4.8,6
"colibrí esmeralda","urbana",10.6,"blanco","alimentación",5,"tarde","néctar",1,13
"reinita amarilla","urbana",12.6,"amarillo","canto",20,"mañana","néctar",14.4,13
"reinita amarilla","urbana",11.7,"marrón","reposo",3,"mediodía","semillas",4.1,10
"pinzón costero","manglar",13.9,"blanco","alimentación",4,"tarde","frutas",5.5,6
"pinzón costero","manglar",13.3,"gris","alimentación",5,"tarde","semillas",1,8
"tordo renegrido","manglar",12,"negro","canto",12,"tarde","néctar",7.5,8
"tordo renegrido","urbana",11.5,"negro","canto",15,"mediodía","frutas",14.2,9
"mosquero tropical","urbana",14.2,"verde","canto",13,"mediodía","semillas",12.2,9
"pinzón costero","urbana",11,"marrón","alimentación",4,"tarde","néctar",3.2,6
"mosquero tropical","agrícola",9,"verde","reposo",4,"mañana","néctar",6.1,6
"tordo renegrido","urbana",13.2,"verde","reposo",6,"tarde","semillas",6.3,8
"colibrí esmeralda","manglar",8.3,"negro","vuelo",9,"mediodía","frutas",4.4,6
"colibrí esmeralda","manglar",8,"blanco","reposo",5,"tarde","semillas",4.1,7
"tordo renegrido","urbana",12.4,"blanco","canto",13,"mañana","insectos",12.3,12
"pinzón costero","agrícola",11.1,"gris","vuelo",5,"tarde","insectos",6.7,6
"pinzón costero","manglar",13.1,"negro","alimentación",9,"mañana","frutas",6.4,2
"mosquero tropical","manglar",8.1,"marrón","canto",14,"mediodía","insectos",14.6,6
"reinita amarilla","urbana",14.5,"negro","reposo",10,"mañana","insectos",1,10
"tordo renegrido","manglar",13.4,"amarillo","vuelo",7,"mediodía","néctar",5.8,3
"mosquero tropical","agrícola",14.9,"marrón","reposo",9,"tarde","frutas",12.8,7
"mosquero tropical","agrícola",12.2,"negro","reposo",9,"mañana","frutas",3.4,5
"pinzón costero","bosque seco",16.1,"verde","canto",19,"tarde","insectos",10.3,4
"tordo renegrido","manglar",10.9,"gris","vuelo",3,"mañana","néctar",4.3,6
"reinita amarilla","manglar",10.6,"blanco","vuelo",9,"mediodía","insectos",4.5,7
"pinzón costero","urbana",9.8,"blanco","alimentación",3,"mediodía","insectos",2,10
"reinita amarilla","bosque seco",10.9,"gris","canto",22,"mañana","semillas",5.5,10
"tordo renegrido","urbana",9.2,"gris","alimentación",3,"mañana","frutas",3.8,7
"mosquero tropical","manglar",11.5,"verde","vuelo",5,"mediodía","insectos",3.4,4
"mosquero tropical","manglar",8.8,"negro","reposo",4,"mediodía","néctar",2.7,4
"mosquero tropical","bosque seco",13.4,"marrón","vuelo",6,"mediodía","semillas",6.6,6
"pinzón costero","urbana",13.3,"gris","canto",15,"mañana","insectos",15.3,13
"mosquero tropical","manglar",12.1,"amarillo","vuelo",6,"tarde","semillas",4.2,9
"pinzón costero","agrícola",12,"marrón","canto",7,"mediodía","frutas",11.6,5
"tordo renegrido","manglar",9.4,"blanco","canto",16,"tarde","frutas",16.2,1
"colibrí esmeralda","manglar",10.2,"blanco","alimentación",8,"mediodía","néctar",4.9,7
"mosquero tropical","bosque seco",11.4,"marrón","vuelo",9,"tarde","semillas",3.8,6
"mosquero tropical","urbana",9.7,"marrón","alimentación",3,"mediodía","insectos",2,10
"mosquero tropical","agrícola",14.1,"blanco","reposo",2,"mediodía","semillas",6.4,8
"mosquero tropical","manglar",13.7,"amarillo","vuelo",6,"tarde","frutas",4.8,6
"tordo renegrido","urbana",12.2,"amarillo","canto",12,"mediodía","insectos",4.4,12
"tordo renegrido","agrícola",13.4,"gris","canto",20,"mediodía","semillas",13.8,6
"reinita amarilla","urbana",13.5,"marrón","reposo",7,"mediodía","frutas",4.2,9
"tordo renegrido","bosque seco",11.5,"verde","vuelo",3,"mañana","semillas",10.5,6
"pinzón costero","manglar",13.2,"blanco","alimentación",9,"tarde","néctar",2.5,2
"pinzón costero","urbana",17.3,"verde","vuelo",3,"tarde","frutas",2.9,11
"tordo renegrido","bosque seco",10.9,"verde","canto",13,"tarde","insectos",13.5,7
"mosquero tropical","manglar",12.1,"gris","reposo",3,"tarde","frutas",2.9,11
"colibrí esmeralda","agrícola",13.7,"verde","alimentación",5,"mediodía","néctar",1,7
"reinita amarilla","manglar",11,"gris","alimentación",4,"mañana","néctar",5.6,7
"reinita amarilla","manglar",13.8,"negro","alimentación",3,"mediodía","semillas",2.8,5
"mosquero tropical","bosque seco",9.9,"marrón","alimentación",5,"tarde","néctar",3.4,3
"pinzón costero","agrícola",9.8,"amarillo","alimentación",3,"mañana","insectos",3.8,6
"tordo renegrido","bosque seco",17.8,"marrón","alimentación",10,"mañana","semillas",1.3,6
"reinita amarilla","bosque seco",9.4,"gris","alimentación",9,"tarde","frutas",7.6,6
"tordo renegrido","bosque seco",11.2,"marrón","reposo",3,"mañana","frutas",1,3
"pinzón costero","manglar",12.6,"negro","canto",12,"tarde","insectos",10.4,11
"mosquero tropical","manglar",13.4,"negro","canto",13,"mediodía","insectos",13.2,6
"pinzón costero","agrícola",11.7,"negro","vuelo",7,"tarde","insectos",7.3,3
"reinita amarilla","bosque seco",11.9,"gris","vuelo",4,"mediodía","néctar",3.2,2
"mosquero tropical","urbana",16.5,"marrón","canto",18,"mañana","semillas",10.2,8
"reinita amarilla","bosque seco",10.9,"blanco","canto",15,"mañana","néctar",11.8,4
"reinita amarilla","bosque seco",11,"blanco","vuelo",6,"mediodía","frutas",1,7
"reinita amarilla","urbana",13.1,"blanco","vuelo",4,"mediodía","frutas",1.2,13
"tordo renegrido","agrícola",12.2,"amarillo","reposo",7,"mañana","insectos",2.3,4
"tordo renegrido","agrícola",14.1,"blanco","reposo",5,"tarde","néctar",4.2,7
"mosquero tropical","agrícola",10,"amarillo","canto",23,"mañana","semillas",9.8,5
"colibrí esmeralda","manglar",11.4,"amarillo","canto",34,"mañana","semillas",24.8,4
"reinita amarilla","bosque seco",14.6,"blanco","vuelo",1,"mañana","semillas",5.3,8
"tordo renegrido","bosque seco",12.3,"verde","vuelo",5,"tarde","néctar",3.7,6
"reinita amarilla","urbana",8,"gris","alimentación",4,"tarde","frutas",3,13
"colibrí esmeralda","urbana",10.5,"negro","vuelo",4,"mañana","semillas",9.9,7
"tordo renegrido","urbana",12.2,"marrón","alimentación",8,"mañana","semillas",4.2,4
"pinzón costero","agrícola",10.2,"marrón","canto",19,"tarde","frutas",10.6,6
"reinita amarilla","agrícola",12.4,"gris","canto",23,"tarde","insectos",14.9,5
"reinita amarilla","manglar",11.7,"marrón","canto",14,"mañana","frutas",11.7,3
"colibrí esmeralda","urbana",11.5,"blanco","reposo",3,"mediodía","néctar",7.4,11
"reinita amarilla","agrícola",10.9,"gris","reposo",8,"mediodía","insectos",21.1,9
"tordo renegrido","bosque seco",12.4,"blanco","reposo",4,"mediodía","semillas",3.5,8
"reinita amarilla","bosque seco",11,"verde","vuelo",3,"mediodía","néctar",7.4,5
"colibrí esmeralda","urbana",8.3,"negro","vuelo",5,"mediodía","insectos",3.4,8
"pinzón costero","agrícola",12.8,"amarillo","reposo",5,"mañana","frutas",7.9,5
"pinzón costero","manglar",11.4,"marrón","canto",15,"mediodía","frutas",11.4,6
"tordo renegrido","urbana",11,"negro","canto",19,"tarde","insectos",11.3,13
"reinita amarilla","agrícola",13,"amarillo","canto",16,"mañana","frutas",7.2,5
"reinita amarilla","urbana",8.5,"marrón","reposo",1,"tarde","néctar",8.5,11
"reinita amarilla","urbana",10.8,"gris","vuelo",5,"mediodía","semillas",4.7,12
"reinita amarilla","manglar",5.5,"marrón","reposo",4,"mañana","néctar",2.5,8
"colibrí esmeralda","manglar",11,"amarillo","canto",14,"tarde","semillas",11,5
"tordo renegrido","urbana",9.6,"amarillo","vuelo",6,"tarde","semillas",1.4,13
"mosquero tropical","bosque seco",10.9,"marrón","reposo",4,"mediodía","insectos",5.9,4
"mosquero tropical","bosque seco",13.2,"negro","reposo",6,"mañana","semillas",1,2
"pinzón costero","bosque seco",12.3,"amarillo","alimentación",6,"tarde","semillas",1,4
"mosquero tropical","manglar",10.3,"blanco","alimentación",5,"mediodía","frutas",4.2,6
"colibrí esmeralda","bosque seco",10.6,"verde","alimentación",6,"mediodía","semillas",2.4,3
"tordo renegrido","manglar",9.7,"gris","reposo",4,"mediodía","semillas",7,11
"reinita amarilla","bosque seco",13.5,"verde","alimentación",3,"mediodía","néctar",4.2,4
"pinzón costero","urbana",15.4,"negro","alimentación",10,"tarde","insectos",1.1,13
"mosquero tropical","urbana",15,"gris","vuelo",5,"mediodía","frutas",8.2,19
"reinita amarilla","manglar",11.3,"negro","canto",16,"mañana","frutas",20.7,4
"mosquero tropical","urbana",11.7,"negro","canto",12,"mediodía","semillas",12.1,10
"tordo renegrido","manglar",13.1,"blanco","alimentación",4,"tarde","frutas",2.7,6
"reinita amarilla","bosque seco",10.2,"blanco","alimentación",8,"mediodía","insectos",8,7
"reinita amarilla","agrícola",11.6,"gris","vuelo",6,"mañana","semillas",1,7
"reinita amarilla","bosque seco",14.1,"negro","vuelo",10,"mediodía","frutas",4.9,8
"colibrí esmeralda","bosque seco",12.2,"amarillo","canto",14,"mañana","semillas",13.5,10
"pinzón costero","agrícola",10.5,"blanco","canto",19,"tarde","insectos",12,5
"colibrí esmeralda","manglar",12.5,"marrón","alimentación",7,"tarde","frutas",3.7,5
"colibrí esmeralda","manglar",11.1,"blanco","reposo",5,"tarde","semillas",10.1,5
"tordo renegrido","manglar",12.6,"marrón","canto",84,"mañana","semillas",31.1,5
"pinzón costero","manglar",11.7,"gris","canto",13,"mediodía","insectos",9.3,3
"colibrí esmeralda","bosque seco",11.6,"amarillo","alimentación",5,"mediodía","semillas",7.5,3
"mosquero tropical","manglar",13.1,"blanco","alimentación",4,"tarde","frutas",1,4
"reinita amarilla","bosque seco",11.1,"verde","alimentación",5,"mediodía","néctar",3.1,3
"tordo renegrido","urbana",9.1,"gris","alimentación",6,"mañana","néctar",7.5,11
"reinita amarilla","agrícola",13.5,"negro","canto",15,"mañana","semillas",8.7,6
"mosquero tropical","urbana",14.8,"negro","alimentación",4,"mañana","insectos",4.6,13
"pinzón costero","manglar",11.3,"amarillo","reposo",10,"mañana","frutas",7.6,5
"reinita amarilla","manglar",8.2,"verde","reposo",5,"tarde","insectos",2.6,5
"colibrí esmeralda","bosque seco",13.5,"verde","vuelo",4,"tarde","insectos",1,4
"pinzón costero","manglar",10.7,"verde","vuelo",6,"tarde","néctar",1,6
"tordo renegrido","manglar",9.4,"marrón","reposo",3,"tarde","insectos",5.6,3
"reinita amarilla","urbana",13.4,"gris","alimentación",5,"mediodía","semillas",1.4,10
"pinzón costero","manglar",10,"gris","canto",14,"mañana","semillas",10.9,3
"mosquero tropical","urbana",14.7,"blanco","canto",30,"mediodía","semillas",40,10
"colibrí esmeralda","bosque seco",12.5,"verde","canto",16,"tarde","insectos",15.8,6
"mosquero tropical","agrícola",12.4,"blanco","vuelo",10,"mañana","frutas",1.2,5
"pinzón costero","urbana",9.8,"blanco","vuelo",8,"mediodía","néctar",1.5,11
"reinita amarilla","bosque seco",13.9,"gris","canto",9,"mañana","frutas",10.2,2
"reinita amarilla","bosque seco",14.9,"verde","alimentación",2,"mediodía","néctar",6.8,6
"reinita amarilla","bosque seco",12,"verde","reposo",7,"tarde","frutas",12.1,5
"reinita amarilla","manglar",10.5,"verde","alimentación",13,"mediodía","insectos",1,9
"reinita amarilla","manglar",12.9,"verde","alimentación",4,"mañana","insectos",1.4,8
"pinzón costero","bosque seco",9.1,"amarillo","vuelo",7,"tarde","insectos",5.2,6
"reinita amarilla","bosque seco",15.8,"verde","canto",14,"mañana","insectos",10,4
"pinzón costero","manglar",8.1,"gris","canto",14,"tarde","semillas",13.3,6
"tordo renegrido","agrícola",10.2,"blanco","reposo",5,"mañana","semillas",1,3
"colibrí esmeralda","bosque seco",12.4,"verde","canto",10,"tarde","insectos",9.9,4
"tordo renegrido","manglar",13.2,"verde","canto",22,"tarde","néctar",18.6,5
"tordo renegrido","bosque seco",16.8,"marrón","alimentación",3,"mediodía","insectos",7.8,4
"tordo renegrido","urbana",10.3,"marrón","reposo",6,"mediodía","néctar",3.1,18
"mosquero tropical","urbana",13.4,"amarillo","alimentación",5,"tarde","néctar",6.9,10
"colibrí esmeralda","urbana",11.1,"marrón","canto",14,"tarde","semillas",15.4,6
"tordo renegrido","urbana",13,"verde","canto",14,"mañana","semillas",12.6,8
"reinita amarilla","manglar",9.6,"gris","canto",10,"mediodía","frutas",10.6,4
"tordo renegrido","manglar",12.1,"marrón","alimentación",4,"mañana","frutas",8.8,8
"mosquero tropical","urbana",12.2,"marrón","canto",11,"mañana","insectos",9.5,13
"reinita amarilla","manglar",10.1,"blanco","reposo",7,"mañana","insectos",4.3,7
"mosquero tropical","bosque seco",10.4,"amarillo","vuelo",3,"tarde","semillas",2.8,6
"colibrí esmeralda","manglar",11.7,"amarillo","canto",15,"mediodía","insectos",12.3,7
"reinita amarilla","manglar",11.8,"amarillo","reposo",6,"tarde","frutas",1,2
"mosquero tropical","bosque seco",14.8,"amarillo","reposo",6,"mañana","insectos",7.6,9
"reinita amarilla","manglar",8,"verde","reposo",9,"mañana","néctar",6.9,5
"tordo renegrido","manglar",11.1,"verde","canto",13,"tarde","frutas",5.7,3
"mosquero tropical","agrícola",10.5,"verde","canto",11,"tarde","semillas",3.5,6
"colibrí esmeralda","agrícola",9.1,"blanco","reposo",3,"tarde","frutas",3,4
"colibrí esmeralda","urbana",14.4,"amarillo","alimentación",6,"mañana","semillas",3.7,5
"reinita amarilla","manglar",9.5,"blanco","alimentación",7,"tarde","insectos",7.1,4
"reinita amarilla","urbana",11.1,"verde","canto",15,"tarde","néctar",13.2,10
"pinzón costero","urbana",12,"verde","alimentación",8,"mañana","semillas",3.7,15
"mosquero tropical","agrícola",12.2,"blanco","vuelo",6,"mediodía","néctar",7.9,4
"mosquero tropical","manglar",7.4,"marrón","canto",24,"mañana","néctar",13.8,3
"mosquero tropical","urbana",13.4,"amarillo","canto",12,"mediodía","frutas",13.7,8
"mosquero tropical","manglar",12.6,"blanco","canto",15,"mediodía","insectos",5.1,9
"pinzón costero","agrícola",17.2,"blanco","canto",18,"tarde","néctar",12,12
"pinzón costero","bosque seco",12.3,"amarillo","alimentación",8,"mediodía","frutas",1,9
"colibrí esmeralda","urbana",13.4,"verde","reposo",7,"mediodía","insectos",4.8,12
"reinita amarilla","agrícola",13.1,"marrón","alimentación",5,"tarde","néctar",6.1,5
"tordo renegrido","urbana",10.7,"marrón","alimentación",4,"mediodía","néctar",1.5,10
"colibrí esmeralda","manglar",11.5,"verde","vuelo",9,"mediodía","semillas",9.1,8
"pinzón costero","agrícola",10.5,"verde","alimentación",5,"mediodía","frutas",3.2,3
"pinzón costero","urbana",9.8,"negro","canto",21,"tarde","frutas",13.9,9
"mosquero tropical","agrícola",9.9,"blanco","canto",17,"tarde","néctar",10.9,2
"pinzón costero","agrícola",13.3,"marrón","vuelo",4,"mañana","insectos",2.5,5
"colibrí esmeralda","manglar",16,"negro","canto",10,"mediodía","néctar",11,6
"pinzón costero","manglar",12.2,"gris","canto",18,"mañana","insectos",9,6
"colibrí esmeralda","urbana",12.3,"negro","reposo",4,"mediodía","frutas",5.8,15
"reinita amarilla","urbana",14.7,"gris","alimentación",4,"mañana","frutas",5.7,15
"mosquero tropical","urbana",11.7,"negro","vuelo",4,"mediodía","frutas",3.9,7
"colibrí esmeralda","manglar",12.7,"verde","alimentación",5,"tarde","semillas",4.1,8
"pinzón costero","bosque seco",10,"marrón","alimentación",5,"mañana","insectos",2.9,5
"tordo renegrido","bosque seco",11.1,"marrón","vuelo",20,"mediodía","néctar",15,1
"tordo renegrido","bosque seco",9.5,"blanco","vuelo",4,"tarde","semillas",5.9,6
"mosquero tropical","manglar",12.1,"blanco","alimentación",2,"mediodía","frutas",3,6
"tordo renegrido","urbana",9.5,"marrón","vuelo",6,"mañana","semillas",7.7,7
"colibrí esmeralda","bosque seco",13.1,"negro","vuelo",2,"mediodía","néctar",1,4
"tordo renegrido","urbana",13.5,"marrón","alimentación",8,"tarde","insectos",7.1,10
"reinita amarilla","agrícola",11.6,"gris","reposo",6,"tarde","insectos",2.5,18
"mosquero tropical","agrícola",11.6,"negro","vuelo",6,"tarde","frutas",2.7,7
"colibrí esmeralda","agrícola",10.5,"marrón","vuelo",7,"mañana","insectos",1.4,3
"mosquero tropical","manglar",14.5,"blanco","canto",14,"tarde","néctar",8.4,2
"pinzón costero","manglar",14.4,"marrón","reposo",0,"mañana","frutas",2.7,7
"colibrí esmeralda","bosque seco",9.6,"negro","vuelo",5,"mediodía","néctar",3.1,5
"tordo renegrido","bosque seco",9.2,"marrón","canto",15,"mañana","insectos",15.4,8
"tordo renegrido","manglar",12.7,"amarillo","canto",8,"tarde","semillas",11.2,4
"mosquero tropical","agrícola",11.5,"negro","alimentación",7,"tarde","insectos",4.3,7
"reinita amarilla","agrícola",14.8,"verde","reposo",5,"mediodía","néctar",7.7,9
"pinzón costero","urbana",9.8,"negro","alimentación",6,"mediodía","insectos",7.2,15
"colibrí esmeralda","manglar",9.9,"verde","alimentación",3,"mañana","semillas",1.4,5
"colibrí esmeralda","bosque seco",9.7,"blanco","vuelo",5,"mañana","insectos",2.2,5
"tordo renegrido","bosque seco",11.5,"negro","reposo",6,"mediodía","insectos",2.6,8
"pinzón costero","agrícola",14.3,"marrón","vuelo",5,"tarde","semillas",1,6
"tordo renegrido","manglar",12.9,"blanco","reposo",5,"mañana","insectos",1.1,4
"pinzón costero","agrícola",11,"marrón","alimentación",6,"tarde","insectos",1,7
"pinzón costero","agrícola",13.3,"verde","vuelo",1,"tarde","frutas",5.5,10
"pinzón costero","urbana",13.7,"negro","reposo",7,"mediodía","insectos",3,15
"tordo renegrido","urbana",11.3,"negro","reposo",3,"mediodía","frutas",7,10
"pinzón costero","bosque seco",10.7,"negro","alimentación",4,"tarde","insectos",4.6,5
"pinzón costero","urbana",12.9,"negro","canto",19,"tarde","frutas",15.4,6
"colibrí esmeralda","urbana",9.8,"negro","reposo",7,"mañana","semillas",5,20
"reinita amarilla","bosque seco",12.9,"verde","canto",13,"tarde","semillas",16.4,7
"colibrí esmeralda","urbana",13.6,"amarillo","vuelo",8,"mañana","semillas",1,10
"reinita amarilla","urbana",16.6,"gris","canto",18,"tarde","frutas",8.2,11
"reinita amarilla","manglar",9.8,"negro","canto",17,"mañana","néctar",11.4,7
"pinzón costero","agrícola",11.5,"amarillo","alimentación",5,"tarde","frutas",8.6,5
"reinita amarilla","manglar",9.6,"marrón","canto",17,"mediodía","insectos",7.8,5
"colibrí esmeralda","bosque seco",12,"negro","canto",10,"mañana","insectos",8.6,8
"pinzón costero","manglar",12.1,"gris","reposo",6,"mañana","insectos",3.5,7
"colibrí esmeralda","urbana",12.9,"blanco","alimentación",7,"mediodía","néctar",1.6,12
"tordo renegrido","bosque seco",12.7,"marrón","canto",18,"mañana","semillas",11.5,3
"pinzón costero","manglar",9.8,"amarillo","reposo",7,"mediodía","frutas",8.8,3
"colibrí esmeralda","manglar",10.6,"amarillo","alimentación",5,"mediodía","insectos",1,4
"tordo renegrido","bosque seco",9.5,"negro","canto",14,"mediodía","frutas",9.1,7
"colibrí esmeralda","agrícola",11.9,"amarillo","alimentación",5,"mediodía","insectos",1,11
"pinzón costero","bosque seco",14.6,"blanco","reposo",4,"mañana","frutas",3.2,13
"pinzón costero","urbana",12.6,"blanco","vuelo",7,"mañana","insectos",1,9
"colibrí esmeralda","manglar",14.5,"gris","reposo",3,"mañana","frutas",3.9,8
"mosquero tropical","urbana",8.2,"verde","canto",45,"tarde","insectos",32.5,3
